Year,Winter (P),Spring (P),Summer (P),Fall (P),Winter (T),Spring (T),Summer (T),Fall (T),Annual (P),Annual (T)
1948,-15.1,-10.3,0.7,-19.8,0.2,-1.8,0.4,1.7,-44.5,0.4999999999999998
1949,-17.3,-16.1,-6.5,-10.1,-2.0,0.3,-0.2,0.8,-50.00000000000001,-1.0999999999999999
1950,-13.0,-24.2,-9.3,-9.3,-3.0,-0.9,-0.8,-0.9,-55.8,-5.6000000000000005
1951,-4.7,-2.0,-10.5,-7.4,-0.3,0.2,-0.3,-0.6,-24.6,-1.0
1952,-16.8,-10.5,3.9,-23.3,-1.5,1.6,-0.1,0.7,-46.7,0.7000000000000001
1953,-8.1,-7.8,1.3,-18.1,2.0,1.2,-0.1,1.3,-32.7,4.4
1954,-13.6,-15.0,-5.6,-12.6,-0.4,-1.4,0.2,1.2,-46.800000000000004,-0.3999999999999999
1955,-13.5,-8.5,-9.7,-11.1,0.8,-0.6,0.7,-0.3,-42.8,0.6000000000000001
1956,-1.9,-27.1,-4.9,-18.8,-0.4,-1.4,-0.5,-0.6,-52.7,-2.9
1957,-20.2,-20.9,-2.3,-10.3,-2.1,0.2,-0.5,0.5,-53.69999999999999,-1.9000000000000004
1958,5.3,-14.8,-14.0,-7.1,1.2,1.2,-0.2,0.1,-30.6,2.3
1959,-13.0,-5.2,-3.7,6.1,-0.9,-0.8,-0.5,-1.1,-15.799999999999999,-3.3000000000000003
1960,-5.6,-8.7,-2.7,-6.0,2.5,-0.7,0.3,0.2,-23.0,2.3000000000000003
1961,-14.1,-10.3,-12.8,-5.1,0.6,-0.9,0.6,-0.4,-42.300000000000004,-0.10000000000000009
1962,-4.2,-9.5,3.8,-12.5,-1.6,-0.2,0.1,0.9,-22.4,-0.7999999999999999
1963,3.7,-14.7,7.2,-8.1,0.5,-0.5,0.1,1.1,-11.899999999999999,1.2000000000000002
1964,-4.4,1.2,2.3,-7.7,1.3,-2.0,-0.6,-0.1,-8.600000000000001,-1.4
1965,12.3,-12.6,-6.5,-5.6,-2.0,0.1,-0.8,-0.9,-12.399999999999999,-3.6
1966,-15.6,-5.6,-1.0,0.4,-0.4,-0.1,0.2,-0.7,-21.8,-1.0
1967,-2.6,-10.1,-5.2,-1.6,-0.7,-2.0,-0.1,0.5,-19.5,-2.3000000000000003
1968,5.4,-2.4,-4.3,3.9,0.5,0.7,-1.0,1.4,2.6000000000000005,1.5999999999999999
1969,4.7,-11.5,-2.2,-1.0,0.3,-0.2,-0.4,0.2,-10.0,-0.10000000000000003
1970,-6.8,-6.1,0.1,5.2,1.4,-0.4,0.4,0.2,-7.599999999999999,1.5999999999999999
1971,4.3,-4.1,-2.3,8.7,-1.2,0.5,0.1,0.5,6.6,-0.09999999999999998
1972,1.5,5.1,-6.3,-2.8,-3.6,-1.3,-0.8,-1.8,-2.5,-7.5
1973,-9.7,-0.1,5.2,6.8,-1.3,0.9,0.8,0.6,2.200000000000001,1.0
1974,1.4,5.1,3.0,-2.6,-1.1,-2.0,-0.1,-0.5,6.9,-3.7
1975,-1.5,-4.5,2.3,-0.6,0.1,-0.1,0.7,0.1,-4.3,0.7999999999999999
1976,4.3,4.3,3.5,-18.1,-0.5,0.3,0.0,0.2,-6.000000000000002,0.0
1977,15.2,16.8,-4.4,-1.7,1.6,2.0,-0.2,0.7,25.900000000000002,4.1
1978,-10.8,-0.5,1.9,-1.1,0.3,-0.8,-1.0,-1.5,-10.5,-3.0
1979,-9.7,20.4,-1.4,-3.1,-1.7,-0.2,-0.2,0.7,6.199999999999999,-1.4000000000000001
1980,4.9,2.2,6.8,0.9,1.8,1.3,0.0,0.3,14.8,3.4
1981,6.6,5.7,1.8,9.8,2.4,1.6,0.5,1.5,23.900000000000002,6.0
1982,-1.1,1.3,-1.1,0.4,-0.9,-1.3,-0.5,-0.5,-0.5000000000000001,-3.2
1983,1.4,2.5,0.5,7.5,0.3,-0.8,0.6,1.1,11.9,1.2000000000000002
1984,0.5,-1.4,7.1,5.7,0.0,0.9,0.7,-0.7,11.899999999999999,0.9000000000000001
1985,-0.2,-1.9,0.9,8.3,-0.4,0.2,-0.3,-1.1,7.1000000000000005,-1.6
1986,6.7,14.3,-0.4,-2.4,1.8,0.4,-0.8,-1.8,18.200000000000003,-0.3999999999999999
1987,1.8,0.7,3.7,-5.9,3.1,0.9,0.0,1.2,0.2999999999999998,5.2
1988,2.2,11.2,7.1,6.7,1.6,1.8,0.7,0.4,27.2,4.500000000000001
1989,-7.1,-2.2,-7.5,8.6,0.0,-0.7,0.9,-0.6,-8.200000000000001,-0.3999999999999999
1990,-1.4,7.7,-0.8,8.1,-1.0,1.2,0.4,-0.8,13.600000000000001,-0.20000000000000007
1991,2.7,6.8,8.6,12.0,-0.6,1.1,0.8,-0.5,30.1,0.8000000000000003
1992,11.9,7.7,-8.3,7.0,1.0,-0.1,-0.9,-0.2,18.3,-0.2
1993,-3.3,0.2,11.2,-2.5,-0.1,1.2,0.2,-0.5,5.6,0.7999999999999998
1994,-4.8,8.5,-0.7,2.0,-1.6,0.9,0.8,1.5,5.0,1.6
1995,-1.9,-0.6,0.1,8.2,1.7,0.8,0.7,0.1,5.799999999999999,3.3000000000000003
1996,15.3,4.0,5.3,10.2,-0.5,-0.5,0.5,-0.3,34.8,-0.8
1997,18.0,0.8,10.4,5.3,0.6,-0.7,0.6,0.8,34.5,1.3
1998,-4.5,-8.9,-1.0,1.7,2.8,2.8,1.8,2.5,-12.700000000000001,9.899999999999999
1999,9.0,15.3,4.4,0.3,2.5,2.5,0.6,1.2,29.000000000000004,6.8
2000,-0.1,2.4,8.9,-2.5,2.5,1.3,0.2,0.8,8.7,4.8
2001,-0.9,12.1,1.1,-4.5,1.3,1.7,0.9,1.6,7.799999999999999,5.5
2002,-4.3,-0.3,12.6,-3.7,2.4,-1.8,0.5,0.9,4.3,2.0
2003,1.8,8.9,1.3,10.1,2.1,0.1,0.8,1.6,22.1,4.6
2004,8.5,10.5,-5.1,10.0,1.5,-0.5,-0.2,0.7,23.9,1.5
2005,19.1,16.8,14.5,12.9,0.4,2.0,0.6,1.9,63.300000000000004,4.9
2006,10.7,14.1,-5.3,5.5,3.9,3.0,1.3,1.1,24.999999999999996,9.3
2007,-0.7,10.0,5.2,11.5,3.1,0.3,0.8,0.8,26.0,5.0
2008,11.3,-3.8,10.9,-0.2,0.5,0.3,0.9,1.5,18.200000000000003,3.2
2009,14.2,4.7,4.3,4.2,0.1,-0.5,0.3,1.9,27.4,1.7999999999999998
2010,-2.3,4.5,7.1,14.5,4.1,4.0,1.2,2.3,23.8,11.599999999999998
2011,28.2,-3.4,12.0,1.8,2.5,-0.2,1.1,2.1,38.599999999999994,5.5
2012,5.9,20.0,4.4,11.2,3.7,1.6,1.8,1.2,41.5,8.3
2013,5.4,4.5,1.8,1.0,1.6,0.4,0.9,1.3,12.700000000000001,4.2
2014,-14.8,1.4,5.8,-1.5,-0.5,-0.5,1.1,0.6,-9.100000000000001,0.7000000000000001
